document,strategy,num_words,avg_confidence
doc_1_mbca.png,no_preprocessing,90,91.17
doc_1_mbca.png,grayscale_only,90,91.17
doc_1_mbca.png,standard,90,90.98
doc_1_mbca.png,aggressive_binarize,89,91.6
doc_2_tokped.pdf,no_preprocessing,182,92.31
doc_2_tokped.pdf,grayscale_only,182,92.31
doc_2_tokped.pdf,standard,182,92.24
doc_2_tokped.pdf,aggressive_binarize,182,91.98
doc_3_email.png,no_preprocessing,150,81.82
doc_3_email.png,grayscale_only,150,81.82
doc_3_email.png,standard,147,79.89
doc_3_email.png,aggressive_binarize,155,77.9
doc_4_indomaret.jpg,no_preprocessing,90,41.99
doc_4_indomaret.jpg,grayscale_only,90,41.99
doc_4_indomaret.jpg,standard,67,41.21
doc_4_indomaret.jpg,aggressive_binarize,0,0.0
doc_5_indomaret.jpeg,no_preprocessing,115,58.03
doc_5_indomaret.jpeg,grayscale_only,115,58.03
doc_5_indomaret.jpeg,standard,129,53.6
doc_5_indomaret.jpeg,aggressive_binarize,127,47.93
doc_6_gacoan.jpeg,no_preprocessing,100,40.93
doc_6_gacoan.jpeg,grayscale_only,100,40.93
doc_6_gacoan.jpeg,standard,133,34.72
doc_6_gacoan.jpeg,aggressive_binarize,151,33.65
doc_7_shopee.pdf,no_preprocessing,175,91.56
doc_7_shopee.pdf,grayscale_only,175,91.56
doc_7_shopee.pdf,standard,175,91.53
doc_7_shopee.pdf,aggressive_binarize,176,89.97
